Date,Open,High,Low,Close,Adj Close,Volume
07-06-2021,9.79,9.82,9.77,9.79,9.79,451600
08-06-2021,9.8,9.81,9.75,9.79,9.79,1043400
09-06-2021,9.81,9.81,9.77,9.77,9.77,358000
10-06-2021,9.78,9.79,9.76,9.78,9.78,320400
11-06-2021,9.78,9.8,9.75,9.77,9.77,637500
14-06-2021,9.77,9.772,9.74,9.77,9.77,907500
15-06-2021,9.76,9.77,9.74,9.76,9.76,816300
16-06-2021,9.78,9.78,9.72,9.76,9.76,580400
17-06-2021,9.76,9.77,9.73,9.76,9.76,160900
18-06-2021,9.76,9.76,9.72,9.72,9.72,262200
21-06-2021,9.71,9.74,9.71,9.74,9.74,59100
22-06-2021,9.74,9.75,9.72,9.74,9.74,179800
23-06-2021,9.73,9.74,9.71,9.73,9.73,403500
24-06-2021,9.74,9.74,9.72,9.72,9.72,246200
25-06-2021,9.74,9.74,9.7,9.72,9.72,484200
28-06-2021,9.74,9.76,9.72,9.76,9.76,306600
29-06-2021,9.76,9.76,9.72,9.73,9.73,232900
30-06-2021,9.74,9.74,9.72,9.73,9.73,362100
01-07-2021,9.73,9.75,9.71,9.73,9.73,252100
02-07-2021,9.74,9.75,9.73,9.73,9.73,241800
06-07-2021,9.73,9.77,9.728,9.77,9.77,114100
07-07-2021,9.75,9.77,9.73,9.77,9.77,26500
08-07-2021,9.752,9.77,9.75,9.77,9.77,124300
09-07-2021,9.77,9.77,9.75,9.76,9.76,2097800
12-07-2021,9.76,9.77,9.72,9.76,9.76,143300
13-07-2021,9.75,9.78,9.75,9.77,9.77,133500
14-07-2021,9.77,9.79,9.75,9.77,9.77,116600
15-07-2021,9.77,9.79,9.76,9.78,9.78,1745000
16-07-2021,9.78,9.79,9.75,9.77,9.77,92900
19-07-2021,9.73,9.77,9.72,9.75,9.75,61300
20-07-2021,9.76,9.76,9.74,9.75,9.75,18700
21-07-2021,9.74,9.76,9.7,9.73,9.73,182100
22-07-2021,9.71,9.74,9.7,9.73,9.73,18800
23-07-2021,9.73,9.74,9.71,9.74,9.74,70000
26-07-2021,9.75,9.75,9.73,9.74,9.74,40800
27-07-2021,9.742,9.76,9.73,9.74,9.74,44500
28-07-2021,9.73,9.765,9.71,9.74,9.74,16900
29-07-2021,9.74,9.75,9.72,9.75,9.75,16000
30-07-2021,9.74,9.77,9.73,9.77,9.77,20800
02-08-2021,9.77,9.77,9.71,9.76,9.76,26800
03-08-2021,9.75,9.75,9.71,9.74,9.74,12100
04-08-2021,9.75,9.751,9.7,9.75,9.75,2769800
05-08-2021,9.78,9.78,9.69,9.7,9.7,70900
06-08-2021,9.75,9.75,9.68,9.7,9.7,69100
09-08-2021,9.7,9.71,9.67,9.7,9.7,177000
10-08-2021,9.68,9.699,9.65,9.67,9.67,320800
11-08-2021,9.69,9.69,9.65,9.69,9.69,171800
12-08-2021,9.67,9.7,9.67,9.7,9.7,652600
13-08-2021,9.685,9.71,9.67,9.71,9.71,42900
16-08-2021,9.681,9.69,9.67,9.68,9.68,56000
17-08-2021,9.677,9.75,9.66,9.68,9.68,129300
18-08-2021,9.7,9.7,9.68,9.685,9.685,8200
19-08-2021,9.68,9.69,9.64,9.69,9.69,102900
20-08-2021,9.68,9.7,9.65,9.7,9.7,129000
23-08-2021,9.7,9.7,9.65,9.67,9.67,449500
24-08-2021,9.66,9.69,9.65,9.66,9.66,95300
25-08-2021,9.67,9.68,9.66,9.67,9.67,37700
26-08-2021,9.67,9.68,9.64,9.67,9.67,255100
27-08-2021,9.65,9.7,9.65,9.67,9.67,35000
30-08-2021,9.66,9.69,9.66,9.67,9.67,262200
31-08-2021,9.68,9.68,9.65,9.67,9.67,26300
01-09-2021,9.68,9.69,9.66,9.68,9.68,52300
02-09-2021,9.663,9.69,9.663,9.68,9.68,16100
03-09-2021,9.72,9.74,9.68,9.73,9.73,349800
07-09-2021,9.76,9.76,9.71,9.74,9.74,183200
08-09-2021,9.73,9.73,9.71,9.72,9.72,128500
09-09-2021,9.71,9.74,9.7,9.74,9.74,244500
10-09-2021,9.72,9.75,9.72,9.72,9.72,468900
13-09-2021,9.72,9.748,9.71,9.72,9.72,79000
14-09-2021,9.71,9.74,9.7,9.74,9.74,83000
